Arithmetic Expression: 100
Convert to input: #i#
Step,Operator Stack,Priority,Next,Remnant,Action
1,#,<·,i,#,Move-in
2,#i,·>,#,-,Reduction
3,#F,==,#,-,Move-in
4,#F#,==,#,-,Move-in
Arithmetic Expression: 2*(1+3)
Convert to input: #i*(i+i)#
Step,Operator Stack,Priority,Next,Remnant,Action
1,#,<·,i,*(i+i)#,Move-in
2,#i,·>,*,(i+i)#,Reduction
3,#F,<·,*,(i+i)#,Move-in
4,#F*,<·,(,i+i)#,Move-in
5,#F*(,<·,i,+i)#,Move-in
6,#F*(i,·>,+,i)#,Reduction
7,#F*(F,<·,+,i)#,Move-in
8,#F*(F+,<·,i,)#,Move-in
9,#F*(F+i,·>,),#,Reduction
10,#F*(F+F,·>,),#,Reduction
10,#F*(E,==,),#,Move-in
11,#F*(E),·>,#,-,Reduction
11,#F*F,·>,#,-,Reduction
11,#E,==,#,-,Move-in
12,#E#,==,#,-,Move-in
Arithmetic Expression: 1
Convert to input: #i#
Step,Operator Stack,Priority,Next,Remnant,Action
1,#,<·,i,#,Move-in
2,#i,·>,#,-,Reduction
3,#F,==,#,-,Move-in
4,#F#,==,#,-,Move-in
Arithmetic Expression: 2
Convert to input: #i#
Step,Operator Stack,Priority,Next,Remnant,Action
1,#,<·,i,#,Move-in
2,#i,·>,#,-,Reduction
3,#F,==,#,-,Move-in
4,#F#,==,#,-,Move-in
